Dates,Open rates,Max Rates,Min Rates
15-04-2016,"14,2600","14,2600","13,8500"
18-04-2016,"14,2600","14,8000","14,2600"
19-04-2016,"14,4500","14,7900","14,4000"
20-04-2016,"14,8000","14,8000","14,3200"
21-04-2016,"14,6000","14,6000","14,1500"
22-04-2016,"14,1500","14,3000","14,1000"
25-04-2016,"14,2000","14,3700","14,1400"
26-04-2016,"14,2000","14,3600","14,1400"
27-04-2016,"14,2000","14,3500","14,0500"
28-04-2016,"14,0600","14,0700","14,0500"
29-04-2016,"14,2500","14,2500","13,7000"
02-05-2016,"13,9100","14,0500","13,3500"
04-05-2016,"13,6500","13,9900","13,6500"
05-05-2016,"13,7800","14,1500","13,7800"
06-05-2016,"14,8500","15,5000","14,8500"
09-05-2016,"15,4000","15,5000","15,0200"
10-05-2016,"15,1000","15,2000","15,0000"
11-05-2016,"14,9700","15,2000","14,8500"
12-05-2016,"15,2000","15,3300","15,0000"
13-05-2016,"15,2900","15,3800","15,2000"
16-05-2016,"15,4000","15,8000","15,2500"
17-05-2016,"15,7900","16,2000","15,5600"
18-05-2016,"15,9500","16,0900","15,6500"
19-05-2016,"16,0000","16,0000","15,5600"
20-05-2016,"15,8500","15,8500","15,2400"
23-05-2016,"15,7900","15,7900","15,0500"
24-05-2016,"15,1200","15,3700","15,0600"
25-05-2016,"15,0600","15,2400","15,0000"
27-05-2016,"15,0000","15,2400","15,0000"
30-05-2016,"15,0600","15,1000","15,0000"
31-05-2016,"15,0000","15,2400","14,8800"
01-06-2016,"15,0000","15,0000","14,0000"
02-06-2016,"14,1000","14,3900","14,0500"
03-06-2016,"14,1100","14,3900","14,0500"
06-06-2016,"14,2400","14,2400","14,2000"
07-06-2016,"14,2000","14,4400","14,2000"
08-06-2016,"14,3300","14,4800","14,2500"
09-06-2016,"14,2600","14,2600","13,6600"
10-06-2016,"13,8200","14,1000","13,8100"
13-06-2016,"14,0100","14,0100","12,6200"
14-06-2016,"13,0000","13,0000","12,2100"
15-06-2016,"12,4000","12,4000","11,3300"
16-06-2016,"11,6000","11,8700","11,6000"
17-06-2016,"11,7300","11,9900","11,5400"
20-06-2016,"11,6900","11,8000","11,5800"
21-06-2016,"11,7500","11,7500","11,2500"
22-06-2016,"11,2500","11,2500","11,0300"
23-06-2016,"11,0800","11,1900","10,8800"
24-06-2016,"10,0000","10,4900","9,2100"
27-06-2016,"10,3000","11,0000","10,2500"
28-06-2016,"11,0000","12,2200","11,0000"
29-06-2016,"12,4900","12,8500","12,4900"
30-06-2016,"12,7600","12,7600","11,7400"
01-07-2016,"12,2000","12,5900","12,2000"
04-07-2016,"12,0000","12,3700","12,0000"
05-07-2016,"12,1500","12,2900","11,9000"
06-07-2016,"11,9200","12,1700","11,9200"
07-07-2016,"12,2000","12,3500","12,1500"
08-07-2016,"11,9000","12,1600","11,9000"
11-07-2016,"12,1500","12,1500","11,9600"
12-07-2016,"12,1500","12,1800","12,0000"
13-07-2016,"12,1000","12,1000","11,0200"
14-07-2016,"11,5800","11,5800","11,4000"
15-07-2016,"11,6000","11,6000","11,2200"
18-07-2016,"11,6000","11,7000","11,6000"
19-07-2016,"11,5100","11,5900","11,3000"
20-07-2016,"11,5900","12,1800","11,4100"
21-07-2016,"12,1700","12,1800","11,9100"
22-07-2016,"11,9100","12,1000","11,4000"
25-07-2016,"12,0400","12,0400","11,8000"
26-07-2016,"11,8900","11,9800","11,8000"
27-07-2016,"11,6300","11,9900","11,4000"
28-07-2016,"11,9000","11,9600","11,4500"
29-07-2016,"11,9800","11,9800","11,4000"
01-08-2016,"11,6000","11,7900","11,1000"
02-08-2016,"11,4800","11,6000","11,2600"
03-08-2016,"11,5600","11,5600","11,2200"
04-08-2016,"11,2500","11,5500","11,1700"
05-08-2016,"11,3400","11,3500","11,1700"
08-08-2016,"11,3500","11,5000","11,3400"
09-08-2016,"11,5000","11,5000","11,2000"
10-08-2016,"11,2300","11,8900","11,2300"
11-08-2016,"11,7800","12,9700","11,7800"
12-08-2016,"13,0000","13,0000","12,3000"
16-08-2016,"12,5000","12,5000","12,2800"
17-08-2016,"12,5500","12,5500","12,2000"
18-08-2016,"12,3000","12,3000","12,0500"
19-08-2016,"12,1000","12,1000","11,9500"
22-08-2016,"11,8000","12,0000","11,7500"
23-08-2016,"11,7500","11,9000","11,6000"
24-08-2016,"11,6700","11,6700","11,3600"
25-08-2016,"11,3500","11,5800","11,2200"
26-08-2016,"11,8900","11,8900","11,2300"
29-08-2016,"11,3000","11,4000","11,2000"
30-08-2016,"11,6900","11,6900","10,6200"
31-08-2016,"10,7000","10,8900","10,6000"
01-09-2016,"10,6000","10,7700","10,5000"
02-09-2016,"10,6000","10,9600","10,3500"
05-09-2016,"10,7900","10,8000","10,3200"
06-09-2016,"10,6400","10,7800","10,2700"
07-09-2016,"10,4600","10,4600","9,9200"
08-09-2016,"10,4500","11,0700","10,4500"
09-09-2016,"10,9800","10,9900","10,3500"
12-09-2016,"10,5000","10,8400","10,3400"
13-09-2016,"10,5200","10,7700","10,5100"
14-09-2016,"10,7000","10,7000","10,5300"
15-09-2016,"10,5300","10,5500","10,5200"
16-09-2016,"10,2500","10,9400","10,2500"
19-09-2016,"10,6100","10,8000","10,6100"
20-09-2016,"10,6100","11,0400","10,6000"
21-09-2016,"11,0700","11,2100","10,6000"
22-09-2016,"10,5500","10,6500","10,5000"
23-09-2016,"10,5100","10,8900","10,5100"
26-09-2016,"10,7900","10,7900","10,5100"
27-09-2016,"10,5100","10,7200","10,3100"
28-09-2016,"10,3500","10,4800","9,8000"
29-09-2016,"10,0000","10,3800","10,0000"
30-09-2016,"10,3300","10,3800","10,1400"
03-10-2016,"10,3100","10,4600","10,2800"
04-10-2016,"10,4600","10,4600","10,1000"
05-10-2016,"10,5000","10,7900","10,3000"
06-10-2016,"10,3900","12,1900","10,2800"
07-10-2016,"11,4500","11,6000","10,9700"
10-10-2016,"10,9500","10,9500","10,6100"
11-10-2016,"10,7500","10,8700","10,3000"
12-10-2016,"10,3100","10,6500","10,3100"
13-10-2016,"10,2500","10,4900","10,2000"
14-10-2016,"10,4000","10,4800","10,3600"
17-10-2016,"10,4800","10,6600","10,3300"
18-10-2016,"10,6600","10,7500","10,6000"
19-10-2016,"10,7900","10,7900","10,5300"
20-10-2016,"10,7800","11,2200","10,6300"
21-10-2016,"11,1000","11,2100","10,9200"
24-10-2016,"11,2100","11,3300","11,0000"
25-10-2016,"11,3000","11,3000","10,9100"
26-10-2016,"11,2300","11,2300","10,9200"
27-10-2016,"11,0000","11,2000","11,0000"
28-10-2016,"11,0500","11,1800","11,0000"
31-10-2016,"11,0000","11,1800","11,0000"
02-11-2016,"11,0000","11,1300","10,9100"
03-11-2016,"10,9100","11,0900","10,9100"
04-11-2016,"10,9300","11,0900","10,9300"
07-11-2016,"11,0900","11,0900","10,9100"
08-11-2016,"11,0800","11,0900","10,9000"
09-11-2016,"10,7500","10,9000","10,7500"
10-11-2016,"10,9000","11,1500","10,4900"
14-11-2016,"11,1400","11,4000","10,9000"
15-11-2016,"11,5000","11,6500","11,2000"
16-11-2016,"11,3000","11,5400","10,9500"
17-11-2016,"11,2000","11,3900","11,0500"
18-11-2016,"11,4000","11,4000","11,1000"
21-11-2016,"11,1000","11,3700","10,8900"
22-11-2016,"11,2000","11,4000","11,0000"
23-11-2016,"11,4000","11,4800","11,2000"
24-11-2016,"11,3800","11,4000","11,2500"
25-11-2016,"11,4900","11,4900","11,4900"
28-11-2016,"11,1000","11,3900","10,9100"
29-11-2016,"11,0000","11,3400","10,8600"
30-11-2016,"11,0700","11,2900","10,7500"
01-12-2016,"0,0000","0,0000","0,0000"
02-12-2016,"10,7200","11,2000","10,7200"
05-12-2016,"11,2700","11,2700","10,9400"
06-12-2016,"11,1800","11,1800","10,9500"
07-12-2016,"10,9100","11,4000","10,8000"
08-12-2016,"11,0100","11,0500","10,5500"
09-12-2016,"10,5600","10,6700","10,5500"
12-12-2016,"10,5000","10,5000","9,8200"
13-12-2016,"9,9100","10,4900","9,9100"
14-12-2016,"10,2000","10,4700","10,1000"
15-12-2016,"10,2000","10,2000","10,0000"
16-12-2016,"10,0000","10,1900","9,9200"
19-12-2016,"10,1900","10,1900","9,9400"
20-12-2016,"10,1000","10,3500","10,0900"
21-12-2016,"10,2100","10,4300","10,2000"
22-12-2016,"10,3500","10,3600","10,0600"
23-12-2016,"10,2000","10,2000","10,0200"
27-12-2016,"10,0100","10,0200","9,9500"
28-12-2016,"10,0500","10,1900","9,9900"
29-12-2016,"10,0100","10,4000","10,0000"
30-12-2016,"10,4000","10,7700","10,2000"
02-01-2017,"10,5000","11,2800","10,5000"
03-01-2017,"11,1900","11,4000","11,1900"
04-01-2017,"11,4000","11,4900","11,0600"
05-01-2017,"11,0000","11,1500","11,0000"
09-01-2017,"11,0500","11,1000","11,0000"
10-01-2017,"11,0500","11,0500","10,9500"
11-01-2017,"10,9500","11,1900","10,9500"
12-01-2017,"10,9200","11,1800","10,5000"
13-01-2017,"11,0900","11,3900","11,0500"
16-01-2017,"11,2000","11,3000","11,2000"
17-01-2017,"11,1500","11,1600","11,1000"
18-01-2017,"11,1500","11,7400","10,9600"
19-01-2017,"11,9000","12,2400","11,6100"
20-01-2017,"11,9600","12,0700","11,9000"
23-01-2017,"11,9500","11,9500","11,3000"
24-01-2017,"11,5500","11,8900","11,3000"
25-01-2017,"11,9000","12,0000","11,7000"
26-01-2017,"12,0000","12,2800","11,9000"
27-01-2017,"12,1100","12,8800","12,1000"
30-01-2017,"12,9000","12,9000","12,0500"
31-01-2017,"12,3700","12,5800","12,2000"
01-02-2017,"12,3500","12,3500","12,1400"
02-02-2017,"12,3900","13,3000","12,3800"
03-02-2017,"12,8000","12,9900","12,7100"
06-02-2017,"12,9900","12,9900","12,5000"
07-02-2017,"12,9800","12,9800","12,6100"
08-02-2017,"12,9900","13,1000","12,8500"
09-02-2017,"12,9800","13,0900","12,7000"
10-02-2017,"13,1200","13,2400","12,7500"
13-02-2017,"13,0500","13,1900","12,7500"
14-02-2017,"12,7500","12,7500","12,0200"
15-02-2017,"12,0500","12,8000","11,4100"
16-02-2017,"12,0000","12,2000","11,8700"
17-02-2017,"12,0900","12,1000","11,8800"
20-02-2017,"11,8800","12,1700","11,8800"
21-02-2017,"12,0700","12,4400","12,0100"
22-02-2017,"12,2600","12,7900","12,2600"
23-02-2017,"12,4000","12,6700","12,4000"
24-02-2017,"12,6500","12,6600","12,0000"
27-02-2017,"11,8500","12,2500","11,8500"
28-02-2017,"12,0800","12,2600","12,0000"
01-03-2017,"12,0000","12,8000","12,0000"
02-03-2017,"12,7500","12,9900","12,6500"
03-03-2017,"12,6200","13,8500","12,2100"
06-03-2017,"13,7200","14,5600","13,2100"
